PE_Ratio,ROE,ROA,EPS,Dividend_Yield,Debt_to_Equity,Price_to_Book,Price_to_Sales,Revenue_Growth,Operating_Margin,Momentum,Volatility,sp500_close,Target,Sector,Ticker
31.157383,2.09915,0.23719999,16.52,0.68,2.5604199999999997,59.47769,14.008586,0.176,0.57733,1.078735698289599,0.011442056467358757,5096.27001953125,1,Financials,MA
28.78409,0.09195,0.038340002,1.76,3.67,1.9275499999999999,2.340062,1.9648398,0.207,0.29241,1.045814939869549,0.010220543849066784,6740.02001953125,2,Utilities,FE
23.078402,0.31562,0.10898,6.76,2.71,0.68719,6.9359355,4.2827044,0.015,0.26297,0.9816625322317715,0.008955500659620206,6448.259765625,1,Staples,PG
22.075182,0.35029998,0.086780004,11.04,2.13,0.60499,7.1965156,6.235246,0.091,0.23966,0.9875263414694762,0.01534545957376698,5958.3798828125,2,Healthcare,JNJ
20.036558,0.18101999,0.01824,4.65,1.37,1.1532,3.8400033,6.9209986,0.189,0.49683997,0.972677092932325,0.016461278467113604,4308.5,1,Financials,SCHW
39.34815,0.05929,0.02743,1.35,1.96,0.63804,1.8877044,2.4262717,1.489,0.10309,0.9429702076998177,0.03344863603039099,4522.68017578125,0,Energy,OXY
7.9749374,0.2532,0.08963,3.99,3.14,0.6868500000000001,1.8433554,1.2942387,-0.28,0.30581,1.0809175538306734,0.047790717152075154,4108.5400390625,1,Energy,APA
18.07781,0.09741,0.03108,3.47,4.26,1.50094,1.9628273,3.3397686,0.204,0.22038001,0.9291823734819646,0.011947457390652397,3990.969970703125,1,Utilities,D
32.7577,0.59129,0.13289,4.87,1.07,1.32375,17.612057,2.940885,0.085,0.13267,1.02949552043071,0.010918678603300624,6941.81005859375,2,Discretionary,TJX
33.486755,0.1762,0.08202,3.02,1.22,0.59517,5.977303,3.914811,0.039,0.18556,1.0499212516379786,0.013077229246637062,4591.669921875,2,Staples,CHD
55.45299,0.02702,0.02269,1.17,4.99,0.73505,1.5364577,10.535514,0.11,0.46975,0.9295511913774476,0.012151013449788505,5996.66015625,2,Utilities,O
